Room;Area;Type;Org
A.1.01;179.583 м²;Машинный зал;"Управление ""СКЦ"""
A.1.04;44.436 м²;Кабинет;"Управление ""СКЦ"""
A.1.05;51.825 м²;Помещение;"Управление ""СКЦ"""
A.1.06;49.541 м²;Кабинет;"Управление ""СКЦ"""
A.1.07;49.505 м²;Кабинет;"Управление ""СКЦ"""
A.1.08;49.581 м²;Аудитория;"Управление ""СКЦ"""
A.1.09;32.63 м²;Аудитория;"Управление ""СКЦ"""
A.1.12;45.192 м131;Помещение;
A.1.14;3.788 м²;Помещение;"Управление ""СКЦ"""
A.1.19;40.022 м²;Кабинет;Управление по связям с общественностью
A.1.20;17.981 м²;Кладовая;
A.1.21;41.176 м²;Лаборатория СУМУ;Институт компьютерных наук и технологий
A.1.22;52.741 м²;Помещение;Институт компьютерных наук и технологий
A.1.23;48.975 м²;Кабинет;
A.1.24;21.204 м²;Помещение;
A.1.28;84.123 м²;Кабинет;Институт компьютерных наук и технологий
A.1.29;34.064 м²;Помещение;Институт компьютерных наук и технологий
A.1.13;6.127 м²;Помещение;"Управление ""СКЦ"""
A.1.15;1.667 м²;Кухня;"Управление ""СКЦ"""
A.1.16;1.688 м²;Помещение;"Управление ""СКЦ"""
A.1.56;52.2  м²;Кабинет;"Управление ""СКЦ"""
A.1.30;132.02  м²;Конференц-лаборатория;"Управление ""СКЦ"""
A.1.31;31.00 м²;Диспетчерская;"Управление ""СКЦ"""
A.1.34;5.981 м²;Кладовая;"Управление ""СКЦ"""
Б.1.05;28.627 м²; Подсобное помещение;Управление СБ и МТО
Б.1.06;22.86 м²;Помещение  ;Управление СБ и МТО
Б.1.07;11.234 м²;Помещение;Управление СБ и МТО
Б.1.08;12.640 м²;Кладовая;Управление СБ и МТО
В.1.03;104.390 м²;Кабинет;
В.1.05;53.20 м²;Пресс-центр;
В.1.04;53.145 м²;Переговорная;
В.1.11;17.062 м²;Помещение убощиц;Управление по связям с общественностью
В.1.12;21.823 м²;Помещение;Департамент главного инженера
В.1.15;72.9 м²;Кабинет;
В.1.16;50.8 м²;Кабинет;Управление по связям с общественностью
В.1.17;67.3  м²;Кабинет;Управление по связям с общественностью
В.1.18;100.00 м²;Медиа-центр;Управление по связям с общественностью
В.1.19;24.016 м²;Помещение;Управление по связям с общественностью
В.1.21;72.795 м²;Студия;Управление по связям с общественностью
В.1.22;72.795 м²;Кабинет;Центр открытого образования
В.1.23;46.9 м²;Кабинет;Центр открытого образования
В.1.24;53.456 м²;Кабинет;Центр открытого образования
В.1.25;155.40 м²;Малый конференц-зал;
В.1.29;22.60 м²;Серверная;
Г.1.01;860.20 м²;Лаборатория;Институт передовых производственных технологий
Г.1.04;86.498 м²;Лаборатория  ;"ЦНТИ ""Новые производственные технологии"""
Г.1.05;69.433 м²;Мастерская;Институт передовых производственных технологий
Г.1.06;25.719 м²;Кабинет;
Г.1.07;21.233 м²;Вахтерская;
Г.1.10;112.956 м²;Лаборатория;Институт машиностроения, материалов и транспорта
Г.1.11;101.251 м²;Помещение;Институт машиностроения, материалов и транспорта
Г.1.29;10.870 м²;Помещение подсобное;
Г.1.14;872.40 м²;Лаборатория;Институт машиностроения, материалов и транспорта
Г.1.30;43.126 м²;Лаборатория;Институт машиностроения, материалов и транспорта
Г.1.31;43.517 м²;Лаборатория;Институт машиностроения, материалов и транспорта
Г.1.32;43.083 м²;Лаборатория;Институт машиностроения, материалов и транспорта
Г.1.33;12.691 м²;Помещение;Департамент главного инженера
Г.1.27;159.969 м²;Учебный класс;Институт машиностроения, материалов и транспорта
Г.1.38;46.247 м²;Лаборатория;Институт машиностроения, материалов и транспорта
Г.1.39;45.649 м²;Лаборатория;Институт машиностроения, материалов и транспорта
Г.1.40;45.598 м²;Лаборатория;Институт машиностроения, материалов и транспорта
Г.1.54;67.396 м²;Лаборатория  ;Институт машиностроения, материалов и транспорта
Г.1.53;59.085 м²;Лаборатория  ;Объединенный научно-технологический институт
